word,meaning_cn,unit,example
review,书评,Unit 1,"I wrote a review for that book."
chocolate,巧克力,Unit 1,"I like eating chocolate."
factory,工厂,Unit 1,"There is a chocolate factory in my city."
exciting,令人兴奋的；使人激动的,Unit 1,"The movie is very exciting."
most,最；最多,Unit 1,"This is the most interesting book."
magical,奇异的；美妙的；迷人的,Unit 1,"The story is very magical."
part,部分,Unit 1,"This is an important part of the story."
side,边；面；侧,Unit 1,"There is a tree on the side of the road."
poor,贫穷的；贫困的,Unit 1,"He comes from a poor family."
forget,忘记；遗忘,Unit 1,"Don't forget to bring your book."
once,曾经；一次,Unit 1,"I have been to Beijing once."
everything,每件事物；所有事物,Unit 1,"Everything is ready."
rich,有钱的；富有的,Unit 1,"He is a rich man."
choose,选择,Unit 1,"You can choose any book you like."
complete,完成；结束,Unit 1,"I need to complete my homework."
expression,词组；表达,Unit 1,"This is a common expression."
passage,一段；一节,Unit 1,"Read this passage carefully."
opinion,意见；评论,Unit 1,"What's your opinion about this movie?"
description,描述；描写；叙述；形容,Unit 1,"The description is very clear."
topic,主题,Unit 1,"The topic of the meeting is about education."
agree,同意；赞同,Unit 1,"I agree with you."
paragraph,（文章的）段；段落,Unit 1,"This paragraph is very important."
crayon,蜡笔,Unit 2,"I draw a picture with crayons."
eraser,橡皮擦,Unit 2,"I need an eraser to correct my mistake."
glove,手套,Unit 2,"I wear gloves in winter."
wallet,钱包,Unit 2,"I lost my wallet yesterday."
watch,手表；观看,Unit 2,"I have a new watch."
whose,谁的,Unit 2,"Whose book is this?"
first of all,首先；第一,Unit 2,"First of all, you need to study hard."
lose,丢失；失去,Unit 2,"I lost my key."
find,发现；找到,Unit 2,"I can't find my pen."
lost and found,失物招领,Unit 2,"Go to the lost and found office."
mine,我的（名词性物主代词）,Unit 2,"This book is mine."
yours,你（们）的（名词性物主代词）,Unit 2,"Is this pen yours?"
his,他的（名词性物主代词）,Unit 2,"The bag is his."
hers,她的（名词性物主代词）,Unit 2,"The dress is hers."
ours,我们的（名词性物主代词）,Unit 2,"The classroom is ours."
theirs,他/她/它们的（名词性物主代词）,Unit 2,"The ball is theirs."
careful,小心的；仔细的,Unit 2,"Be careful when you cross the road."
be careful with,小心（对待）,Unit 2,"Be careful with your money."
on,在……上；关于,Unit 2,"The book is on the desk."
from,从；来自,Unit 2,"I am from China."
mobile phone,手机,Unit 2,"I have a new mobile phone."
lost and found box,失物招领箱,Unit 2,"Put the lost things in the lost and found box."
in a hurry,匆忙地,Unit 2,"He left in a hurry."
hundred,百,Unit 2,"There are hundreds of students in our school."
