word,meaning_cn,unit,example
rose,玫瑰,Garden,"A rose is growing in the garden."
leaf,叶子,Garden,"A green leaf fell from the tree."
clover,三叶草,Garden,"The clover has small green leaves."
dandelion,蒲公英,Garden,"A dandelion grows near the path."
root,根,Garden,"The root holds the plant in the ground."
honey,蜂蜜,Garden,"Honey tastes sweet."
pollen,花粉,Garden,"Bees carry pollen from flower to flower."
wing,翅膀,Garden,"The bird has a broken wing."
light,光；轻的,Garden,"The morning light is soft."
faster,更快的,Garden,"Run faster to catch the bus."
cactus,仙人掌,Desert,"A cactus can live in a dry place."
sand,沙子,Desert,"The sand is hot in the desert."
bone,骨头,Desert,"The dog found a bone."
shell,壳；贝壳,Desert,"The shell is hard and white."
salt,盐,Desert,"Please add a little salt."
shovel,铲子,Desert,"He used a shovel to dig a hole."
rock,岩石；石头,Desert,"There is a big rock near the road."
thorn,刺,Desert,"A thorn hurt my finger."
dry,干的,Desert,"The desert is very dry."
shield,盾牌,Desert,"A shield can protect a player."
coral,珊瑚,Ocean,"Coral lives under the sea."
pearl,珍珠,Ocean,"She found a pearl in the shell."
sponge,海绵,Ocean,"A sponge can hold water."
bubble,气泡,Ocean,"A bubble floated in the water."
starfish,海星,Ocean,"A starfish has five arms."
wave,波浪,Ocean,"A big wave came to the beach."
water,水,Ocean,"Drink more water after exercise."
heal,治愈；恢复,Ocean,"Time can heal a sad heart."
float,漂浮,Ocean,"The leaf can float on the water."
deep,深的,Ocean,"The lake is deep."
basil,罗勒,Jungle,"Basil is a green plant."
lotus,莲花,Jungle,"A lotus grows in the pond."
orange,橙子；橙色的,Jungle,"I ate an orange after lunch."
grapes,葡萄,Jungle,"The grapes are sweet."
tomato,西红柿；番茄,Jungle,"Tomato is a common vegetable."
vine,藤；藤蔓,Jungle,"A vine climbed up the wall."
fruit,水果,Jungle,"Fruit is good for your health."
jungle,丛林,Jungle,"Many animals live in the jungle."
seed,种子,Jungle,"Plant the seed in the soil."
grow,生长,Jungle,"Plants grow well in spring."
cog,齿轮,Factory,"A small cog turned inside the machine."
battery,电池,Factory,"This toy needs a battery."
chip,芯片；薄片,Factory,"The robot has a tiny chip."
laser,激光,Factory,"The robot has a red laser."
magnet,磁铁,Factory,"A magnet can pull iron."
gear,齿轮；装备,Factory,"This gear helps the wheel move."
engine,发动机,Factory,"The engine makes the car run."
metal,金属,Factory,"This box is made of metal."
power,能量；力量,Factory,"The machine needs more power."
reload,重新装填,Factory,"The player needs time to reload."
moon,月亮,Mystic,"The moon is bright tonight."
lightning,闪电,Mystic,"Lightning flashed in the dark sky."
fang,尖牙,Mystic,"The animal has a sharp fang."
relic,遗物；圣物,Mystic,"The old relic is kept in a museum."
talisman,护身符,Mystic,"He wore a talisman around his neck."
ankh,安卡符,Mystic,"An ankh is an ancient symbol."
magic,魔法；神奇的,Mystic,"The story is full of magic."
poison,毒药；毒物,Mystic,"Some plants contain poison."
rare,稀有的,Mystic,"This flower is very rare."
legendary,传说中的,Mystic,"The hero became legendary."
