word,meaning_cn,unit,example
ready,准备好（做某事）的,Starter,"Are you ready for the new term?"
textbook,教科书；教材,Starter,"Please open your textbook to page 10."
eraser,橡皮,Starter,"Can I borrow your eraser?"
junior high,初级中学,Starter,"I study in a junior high school."
geography,地理,Starter,"My favorite subject is geography."
biology,生物,Starter,"We have a biology class on Wednesday."
history,历史,Starter,"History is very interesting."
physics,物理,Starter,"Physics is a difficult subject for me."
chemistry,化学,Starter,"We do experiments in chemistry class."
hello,你好；喂,Starter Unit 1,"Hello, my name is Li Ming."
class,同学；班级,Starter Unit 1,"Good morning, class!"
my,我的,Starter Unit 1,"This is my new friend."
name,名字,Starter Unit 1,"What's your name?"
is,是（be动词第三人称单数）,Starter Unit 1,"He is a student."
Miss,小姐；老师,Starter Unit 1,"Miss Wang teaches us English."
good,好的,Starter Unit 1,"That's a good idea."
morning,早晨；上午,Starter Unit 1,"Good morning, everyone!"
good morning,早上好,Starter Unit 1,"Good morning, Mr. Li."
afternoon,下午,Starter Unit 1,"Good afternoon, my dear."
good afternoon,下午好,Starter Unit 1,"Good afternoon, how are you?"
goodbye,再见,Starter Unit 1,"Goodbye, see you tomorrow."
Mr.,先生,Starter Unit 1,"Mr. Zhang is our math teacher."
and,和；与,Starter Unit 1,"I have a pen and a pencil."
this,这；这个,Starter Unit 1,"This is my schoolbag."
she,她,Starter Unit 1,"She is my sister."
he,他,Starter Unit 1,"He is from America."
teacher,老师,Starter Unit 1,"Our teacher is very kind."
friend,朋友,Starter Unit 1,"Tom is my best friend."
her,她的,Starter Unit 1,"Her name is Lucy."
his,他的,Starter Unit 1,"His favorite color is blue."
nice,令人愉快的；宜人的,Unit 1,"It's nice to meet you."
to,用于构成动词不定式；向,Unit 1,"I want to go to the park."
meet,遇见；结识,Unit 1,"Pleased to meet you."
you,你；你们,Unit 1,"How are you?"
too,也；太,Unit 1,"I like apples too."
Ms,女士,Unit 1,"Ms. Chen is our new teacher."
what,什么,Unit 1,"What's your favorite sport?"
your,你的；你们的,Unit 1,"What's your name?"
please,请,Unit 1,"Please sit down."
sorry,对不起；抱歉,Unit 1,"Sorry, I'm late."
can,能；会,Unit 1,"Can you speak English?"
spell,拼写,Unit 1,"Can you spell this word?"
it,它,Unit 1,"It is a cat."
yes,是；是的,Unit 1,"Yes, I can."
thank,谢谢,Unit 1,"Thank you very much."
how,怎样；如何,Unit 1,"How old are you?"
are,是（be动词复数和第二人称）,Unit 1,"You are my good friend."
fine,健康的；美好的,Unit 1,"I'm fine, thank you."
thanks,感谢；谢谢,Unit 1,"Thanks for your help."
mother,母亲；妈妈,Unit 2,"My mother is a doctor."
father,父亲；爸爸,Unit 2,"My father works in a hospital."
parent,父；母（复数parents）,Unit 2,"My parents love me very much."
sister,姐；妹,Unit 2,"I have a younger sister."
brother,兄；弟,Unit 2,"My brother is 10 years old."
grandmother,（外）祖母；奶奶；外婆,Unit 2,"My grandmother often tells me stories."
grandfather,（外）祖父；爷爷；外公,Unit 2,"My grandfather likes reading newspapers."
grandparent,（外）祖父/母（复数grandparents）,Unit 2,"I visit my grandparents every weekend."
family,家庭；家人,Unit 2,"I have a big family."
photo,照片；相片,Unit 2,"This is a photo of my family."
these,这些,Unit 2,"These are my books."
they,他们；她们；它们,Unit 2,"They are my classmates."
mum,妈妈（口语）,Unit 2,"Mum, I'm hungry."
dad,爸爸（口语）,Unit 2,"Dad, can I watch TV?"
left,左边；左侧,Unit 2,"The library is on the left."
on the left,在左边,Unit 2,"My house is on the left of the street."
right,右边；右侧,Unit 2,"The school is on the right."
on the right,在右边,Unit 2,"The bank is on the right."
who,谁,Unit 2,"Who is that girl?"
woman,成年女子；妇女,Unit 2,"That woman is my aunt."
aunt,姑母；姨母；伯母；婶母；舅母,Unit 2,"My aunt is a teacher."
uncle,叔父；伯父；舅父；姑父；姨父,Unit 2,"My uncle is a driver."
cousin,堂兄（弟、姊、妹）；表兄（弟、姊、妹）,Unit 2,"My cousin lives in Beijing."
